ente,uf,ano,grupo,contrib_previdenciaria,recursos_acumulados,receita_investimentos_e_ativos,pagamento_beneficios,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,recursos_acumulados_problema,receita_investimentos_e_ativos_problema,pagamento_beneficios_problema
CASEIROS,RS,2019,PEQUENO PORTE,1735957.44,20406320.96,32038554.4,819907.34,,,,,,,False,False,False,False
CASEIROS,RS,2020,PEQUENO PORTE,1813380.72,23123125.18,31194561.11,953574.55,,,,,,,False,False,False,False
CASEIROS,RS,2021,PEQUENO PORTE,1752941.09,25124699.0,30807164.47,1135363.42,,,,,,,False,False,False,False
CASEIROS,RS,2022,PEQUENO PORTE,1952268.17,26657710.5,32462291.34,1448423.93,,,,,,,False,False,False,False
CASEIROS,RS,2023,PEQUENO PORTE,2038741.83,29731087.43,33837480.589999996,1791674.65,,,,,,,False,False,False,False
CASEIROS,RS,2024,PEQUENO PORTE,2824366.51,33906979.04,32753570.68,2097629.1,,,,,,,False,False,False,False
CASINHAS,PE,2019,MÉDIO PORTE,2986828.33,14991456.04,32282474.099999998,2589342.65,,,,,,,False,False,False,False
CASINHAS,PE,2020,PEQUENO PORTE,2455928.25,17646699.39,33190155.45,2899731.83,,,,,,,False,False,False,False
CASINHAS,PE,2021,PEQUENO PORTE,3563750.56,18896056.01,30198221.96,3300710.48,,,,,,,False,False,False,False
CASINHAS,PE,2022,PEQUENO PORTE,4842952.99,20789280.74,31466556.09,3924591.39,,,,,,,False,False,False,False
CASINHAS,PE,2023,PEQUENO PORTE,5084403.25,23419651.94,33296897.06,4557134.58,,,,,,,False,False,False,False
CASINHAS,PE,2024,PEQUENO PORTE,5489223.34,29223259.73,32149873.099999998,5378380.41,,,,,,,False,False,False,False
CASSILANDIA,MS,2019,MÉDIO PORTE,6622035.79,42093132.91999999,34475914.86,5474860.01,,,,,,,False,False,False,False
CASSILANDIA,MS,2020,MÉDIO PORTE,8273051.41,47104528.89,35058346.01,7444373.17,,,,,,,False,False,False,False
CASSILANDIA,MS,2021,MÉDIO PORTE,7206265.49,50429022.5,33379368.45,8796761.18,,,,,,,False,False,False,False
CASSILANDIA,MS,2022,MÉDIO PORTE,10062298.82,53118692.90000001,35182704.72,10268188.33,,,,,,,False,False,False,False
CASSILANDIA,MS,2023,MÉDIO PORTE,13522791.28,61179904.62,38273180.94,10725261.42,,,,,,,False,False,False,False
CASSILANDIA,MS,2024,MÉDIO PORTE,21248386.94,70145778.09,31571508.529999997,4367448.22,,,,,,,False,False,False,False
CASTELANDIA,GO,2019,PEQUENO PORTE,1280262.92,46898.24,29862622.529999997,1355996.53,,,,,,,False,False,False,False
CASTELANDIA,GO,2020,PEQUENO PORTE,1207827.85,6226.47,29862542.169999998,1662579.21,,,,,,,False,False,False,False
CASTELANDIA,GO,2021,PEQUENO PORTE,1730641.71,46327.11,29862532.88,1863433.27,,,,,,,False,False,False,False
CASTELANDIA,GO,2022,PEQUENO PORTE,1767380.96,167392.23,29862817.88,2443070.33,,,,,,,False,False,False,False
CASTELANDIA,GO,2023,PEQUENO PORTE,2187320.77,34532.21,29862900.8,2830203.28,,,,,,,False,False,False,False
CASTELANDIA,GO,2024,PEQUENO PORTE,3265857.16,90238.59,29873684.869999997,3066833.83,,,,,,,False,False,False,False
CAXAMBU,MG,2019,MÉDIO PORTE,3796760.7,33193615.89,35002647.08,8184010.73,,,,,,,False,False,False,False
CAXAMBU,MG,2020,MÉDIO PORTE,4836233.24,38158694.79,31803046.55,9581401.28,,,,,,,False,False,False,False
CAXAMBU,MG,2021,MÉDIO PORTE,5138658.47,37898655.44000001,30048492.45,10527067.6,,,,,,,False,False,False,False
CAXAMBU,MG,2022,MÉDIO PORTE,5837073.23,36955904.92,32903151.439999998,12691405.63,,,,,,,False,False,False,False
CAXAMBU,MG,2023,MÉDIO PORTE,5830889.27,37059365.47,34689595.47,14803234.53,,,,,,,False,False,False,False
CAXAMBU,MG,2024,MÉDIO PORTE,7391240.52,36143584.42,31857130.47,17184977.99,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2019,GRANDE PORTE,263932749.39,420013982.27,91386879.62,292566068.58,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2020,GRANDE PORTE,281117563.7,445346555.16,51860118.4,330135240.08,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2021,GRANDE PORTE,380994409.21,415081794.12,33165553.57,369956701.92,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2022,GRANDE PORTE,427243806.22,423374827.11,53225554.68,425353116.86,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2023,GRANDE PORTE,386886340.43,442267177.86,92009386.16,463999319.16,,,,,,,False,False,False,False
CAXIAS DO SUL,RS,2024,GRANDE PORTE,348695697.74,546388619.96,78565421.33,509896944.76,,,,,,,False,False,False,False
CAXINGO,PI,2019,PEQUENO PORTE,1607446.86,3539585.19,30186490.24,354238.56,,,,,,,False,False,False,False
CAXINGO,PI,2020,PEQUENO PORTE,891094.79,4281483.55,30103063.97,391303.2,,,,,,,False,False,False,False
CAXINGO,PI,2021,PEQUENO PORTE,1975979.45,5867215.7,30097921.2,389303.68,,,,,,,False,False,False,False
CAXINGO,PI,2022,PEQUENO PORTE,2242238.36,7739566.73,30572101.88,643553.19,,,,,,,False,False,False,False
CAXINGO,PI,2023,PEQUENO PORTE,2535666.11,10184051.75,31167692.689999998,847806.76,,,,,,,False,False,False,False
CAXINGO,PI,2024,PEQUENO PORTE,2606931.89,13019062.14,30805793.599999998,1694641.49,,,,,,,False,False,False,False
CEARA,CE,2019,ESTADO/DF,1761459389.06,646587020.01,108090677.56,2832955745.46,,,,,,,False,False,False,False
CEARA,CE,2020,ESTADO/DF,1885330321.27,1016295538.1,95070219.94999999,2727109666.56,,,,,,,False,False,False,False
CEARA,CE,2021,ESTADO/DF,1968840292.26,1252180593.66,52148362.08,2980782273.53,,,,,,,False,False,False,False
CEARA,CE,2022,ESTADO/DF,2512599077.55,1172871541.72,124247239.78,3515572059.36,,,,,,,False,False,False,False
CEARA,CE,2023,ESTADO/DF,2733568061.18,1597089108.37,206569903.14,3874980041.34,,,,,,,False,False,False,False
CEARA,CE,2024,ESTADO/DF,2935886468.33,1742999609.17,214806987.76999998,4348119105.37,2024-03-08 00:00:00,2024-02-07 00:00:00,,,,,False,False,False,False
CEDRO,PE,2019,MÉDIO PORTE,3694132.19,103797.46,29868537.64,4363331.53,,,,,,,False,False,False,False
CEDRO,PE,2020,MÉDIO PORTE,3938126.04,150770.34,29865816.39,5089011.86,,,,,,,False,False,False,False
CEDRO,PE,2021,MÉDIO PORTE,4997126.06,18310.01,29863279.439999998,5766262.16,,,,,,,False,False,False,False
CEDRO,PE,2022,MÉDIO PORTE,5837758.55,99684.11,29870772.439999998,7530963.91,,,,,,,False,False,False,False
CEDRO,PE,2023,MÉDIO PORTE,5921691.99,148245.57,29878997.939999998,8535931.02,,,,,,,False,False,False,False
CEDRO,PE,2024,MÉDIO PORTE,6940777.31,160398.69,29882302.48,10142035.35,,,,,,,False,False,False,False
CERES,GO,2019,MÉDIO PORTE,4387738.68,10914447.02,31349960.669999998,4183789.51,,,,,,,False,False,False,False
CERES,GO,2020,MÉDIO PORTE,4601519.78,13123390.79,31718565.21,4869041.09,,,,,,,False,False,False,False
CERES,GO,2021,MÉDIO PORTE,5585694.19,14630641.84,29929983.439999998,5567115.89,,,,,,,False,False,False,False
CERES,GO,2022,MÉDIO PORTE,7732739.35,14828469.26,30860793.07,6814915.69,,,,,,,False,False,False,False
CERES,GO,2023,MÉDIO PORTE,11639394.88,16472535.36,32108765.58,7366885.3,,,,,,,False,False,False,False
CERES,GO,2024,MÉDIO PORTE,13699545.88,24163359.13,31856402.009999998,8534630.81,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2019,MÉDIO PORTE,9266261.27,33327623.54,34995510.629999995,4507903.53,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2020,MÉDIO PORTE,11713371.7,42566564.69000001,30034098.07,5890854.97,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2021,MÉDIO PORTE,11620275.65,48741928.34,28164585.29,7202760.51,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2022,MÉDIO PORTE,13617633.61,55168625.02,33625154.12,7345902.51,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2023,MÉDIO PORTE,16143046.06,63080883.86,39032057.78,8930790.56,,,,,,,False,False,False,False
CERQUEIRA CESAR,SP,2024,MÉDIO PORTE,17043675.45,78339301.62,38111696.76,11005035.55,2021-04-28 00:00:00,2021-04-28 00:00:00,2023-11-18 00:00:00,I,,I,False,False,False,False
CERQUILHO,SP,2019,MÉDIO PORTE,10449536.63,127096739.62,43479920.73,17590172.74,,,,,,,False,False,False,False
CERQUILHO,SP,2020,MÉDIO PORTE,11636865.25,137661112.06,36007329.03,19421877.94,,,,,,,False,False,False,False
CERQUILHO,SP,2021,MÉDIO PORTE,12323465.0,140953372.17,34492421.53,19319063.7,,,,,,,False,False,False,False
CERQUILHO,SP,2022,MÉDIO PORTE,14198934.33,143181933.0,37437710.79,24963031.67,,,,,,,False,False,False,False
CERQUILHO,SP,2023,MÉDIO PORTE,16626402.97,151002511.57,52336889.93,28370683.62,,,,,,,False,False,False,False
CERQUILHO,SP,2024,MÉDIO PORTE,18281965.21,172778057.12,45624318.31,33306048.61,,,,,,,False,False,False,False
CERRITO,RS,2019,PEQUENO PORTE,2085672.33,11453833.19,31242951.73,1299004.81,,,,,,,False,False,False,False
CERRITO,RS,2020,PEQUENO PORTE,2426922.72,13789653.92,31133548.3,1204293.19,,,,,,,False,False,False,False
CERRITO,RS,2021,PEQUENO PORTE,2439078.48,15055756.68,30510154.23,1900981.55,,,,,,,False,False,False,False
CERRITO,RS,2022,PEQUENO PORTE,2464287.52,15479214.59,31460778.34,2985163.39,,,,,,,False,False,False,False
CERRITO,RS,2023,PEQUENO PORTE,2279867.55,17571074.57,32171940.86,3515775.68,,,,,,,False,False,False,False
CERRITO,RS,2024,PEQUENO PORTE,2472367.82,20308982.86,31468309.09,3794283.74,,,,,,,False,False,False,False
CERRO AZUL,PR,2019,MÉDIO PORTE,4174449.82,21556216.75,31492430.88,4262423.35,,,,,,,False,False,False,False
CERRO AZUL,PR,2020,MÉDIO PORTE,4298188.49,23900058.62,31035061.91,4932909.83,,,,,,,False,False,False,False
CERRO AZUL,PR,2021,MÉDIO PORTE,4576119.33,26875398.49,30090578.509999998,5792962.53,,,,,,,False,False,False,False
CERRO AZUL,PR,2022,MÉDIO PORTE,4795823.46,28622665.29,32245565.53,7518215.43,,,,,,,False,False,False,False
CERRO AZUL,PR,2023,PEQUENO PORTE,5333446.17,31571033.12,33754030.89,10004188.35,,,,,,,False,False,False,False
CERRO AZUL,PR,2024,PEQUENO PORTE,5170811.95,35740710.78,31803290.56,10391883.17,,,,,,,False,False,False,False
CERRO BRANCO,RS,2019,PEQUENO PORTE,1823822.01,15721660.82,31849569.439999998,1874960.35,,,,,,,False,False,False,False
CERRO BRANCO,RS,2020,PEQUENO PORTE,2033896.01,19257712.63,30917050.529999997,2070944.9,,,,,,,False,False,False,False
CERRO BRANCO,RS,2021,PEQUENO PORTE,2548968.38,20987405.85,30687235.56,2174570.05,,,,,,,False,False,False,False
CERRO BRANCO,RS,2022,PEQUENO PORTE,2947086.81,22457196.04,32264249.98,2686626.74,,,,,,,False,False,False,False
CERRO BRANCO,RS,2023,PEQUENO PORTE,3315995.0,26183331.08,33378918.439999998,3384945.17,,,,,,,False,False,False,False
CERRO BRANCO,RS,2024,PEQUENO PORTE,3418904.33,30391149.04,32182353.54,3921244.95,,,,,,,False,False,False,False
CERRO GRANDE,RS,2019,PEQUENO PORTE,1355182.33,19295727.87,32429375.06,756843.98,,,,,,,False,False,False,False
CERRO GRANDE,RS,2020,PEQUENO PORTE,1435359.05,22301349.36,31215158.55,876049.09,,,,,,,False,False,False,False
CERRO GRANDE,RS,2021,PEQUENO PORTE,1384038.3,24082758.28,30234063.04,918448.31,,,,,,,False,False,False,False
CERRO GRANDE,RS,2022,PEQUENO PORTE,1730959.64,24918526.18,32131847.21,1095555.87,,,,,,,False,False,False,False
CERRO GRANDE,RS,2023,PEQUENO PORTE,1851312.88,27646959.2,33666157.43,1224796.14,,,,,,,False,False,False,False
CERRO GRANDE,RS,2024,PEQUENO PORTE,1558977.66,30054540.37,31715163.81,1387209.21,2022-01-28 00:00:00,2021-12-20 00:00:00,,,,,False,False,False,False
CHA GRANDE,PE,2019,MÉDIO PORTE,4465224.0,7266.23,29864417.09,4983181.03,,,,,,,False,False,False,False
CHA GRANDE,PE,2020,MÉDIO PORTE,5361468.03,45198.57,29862758.509999998,6962168.75,,,,,,,False,False,False,False
CHA GRANDE,PE,2021,MÉDIO PORTE,5782421.93,12326.65,29868549.65,7245536.57,,,,,,,False,False,False,False
CHA GRANDE,PE,2022,MÉDIO PORTE,7882256.97,285244.78,29876285.8,9168013.82,,,,,,,False,False,False,False
CHA GRANDE,PE,2023,MÉDIO PORTE,9330184.6,559949.33,29935581.45,10502773.39,,,,,,,False,False,False,False
CHA GRANDE,PE,2024,MÉDIO PORTE,10730928.32,272024.08,29897192.54,11622628.85,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2019,PEQUENO PORTE,1623145.75,15189335.3,31794423.65,516737.57,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2020,PEQUENO PORTE,1975166.12,18281358.14,31112603.11,496357.95,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2021,PEQUENO PORTE,2106283.75,21063308.61,30232126.27,577555.24,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2022,PEQUENO PORTE,2919325.66,23148931.37,32164584.71,836842.72,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2023,PEQUENO PORTE,3187243.87,27412004.48,33604623.58,1102214.84,,,,,,,False,False,False,False
CHAPADA GAUCHA,MG,2024,PEQUENO PORTE,3390404.11,33213937.66,32417664.86,1242790.55,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2019,MÉDIO PORTE,8863463.68,97988848.52,41985452.62,5186905.59,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2020,MÉDIO PORTE,12462585.62,114238982.76,37599496.28,6585842.08,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2021,MÉDIO PORTE,15889744.09,131107823.93,28129181.169999998,7655980.68,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2022,MÉDIO PORTE,19322376.12,138618373.18,38231190.98,10385381.62,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2023,MÉDIO PORTE,26119969.57,155415396.81,49191759.37,13137164.55,,,,,,,False,False,False,False
CHAPADAO DO SUL,MS,2024,MÉDIO PORTE,28142345.6,185454335.91,45742409.739999995,16878419.63,,,,,,,False,False,False,False
CHARQUEADAS,RS,2019,MÉDIO PORTE,3064268.36,52010286.48,39410128.45,13709590.13,,,,,,,False,False,False,False
CHARQUEADAS,RS,2020,MÉDIO PORTE,3411289.98,55335165.36000001,33931706.65,14962681.42,,,,,,,False,False,False,False
CHARQUEADAS,RS,2021,MÉDIO PORTE,8906231.74,46996874.40000001,34850579.55,17018202.98,,,,,,,False,False,False,False
CHARQUEADAS,RS,2022,MÉDIO PORTE,8341522.37,51813346.97000001,33492690.24,19211903.65,,,,,,,False,False,False,False
CHARQUEADAS,RS,2023,MÉDIO PORTE,6405588.98,56146853.63,37600804.12,22379291.56,,,,,,,False,False,False,False
CHARQUEADAS,RS,2024,MÉDIO PORTE,7357535.36,69120565.61,32927592.14,24286770.96,,,,,,,False,False,False,False
CHOROZINHO,CE,2019,PEQUENO PORTE,3817762.7,13755660.86,31918043.7,3055469.42,,,,,,,False,False,False,False
CHOROZINHO,CE,2020,PEQUENO PORTE,2025080.88,16230354.23,31676277.49,4016368.46,,,,,,,False,False,False,False
CHOROZINHO,CE,2021,PEQUENO PORTE,5127013.67,14772535.93,30626577.73,3739115.69,,,,,,,False,False,False,False
CHOROZINHO,CE,2022,MÉDIO PORTE,6101950.2,14644224.04,31450982.06,7323383.45,,,,,,,False,False,False,False
CHOROZINHO,CE,2023,PEQUENO PORTE,7721653.08,15669040.16,32277637.43,8836377.7,,,,,,,False,False,False,False
CHOROZINHO,CE,2024,PEQUENO PORTE,5560377.46,15713844.42,30844462.73,8896295.23,,,,,,,False,False,False,False
CIANORTE,PR,2019,MÉDIO PORTE,23599876.5,82338899.03999999,40605460.01,22611137.91,,,,,,,False,False,False,False
CIANORTE,PR,2020,MÉDIO PORTE,26355979.69,99570894.82,35025832.43,27179860.4,,,,,,,False,False,False,False
CIANORTE,PR,2021,MÉDIO PORTE,27959278.14,114144774.69,28024388.13,28207119.26,,,,,,,False,False,False,False
CIANORTE,PR,2022,MÉDIO PORTE,32740332.33,118267641.78,39845478.46,33402794.04,,,,,,,False,False,False,False
CIANORTE,PR,2023,MÉDIO PORTE,43328818.22,139780743.65,49882353.41,36131749.87,,,,,,,False,False,False,False
CIANORTE,PR,2024,MÉDIO PORTE,46330366.24,175080943.48,42399893.34,44509817.78,2019-10-30 00:00:00,2019-10-23 00:00:00,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2019,MÉDIO PORTE,10624821.68,60020807.13,38974084.53,6869839.51,,,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2020,MÉDIO PORTE,12778685.61,70379106.62000002,36347248.21,8729084.41,,,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2021,MÉDIO PORTE,13821111.12,78303455.9,32722718.59,10322207.4,,,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2022,MÉDIO PORTE,17756644.87,83431299.34,36551325.86,13282318.3,,,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2023,MÉDIO PORTE,20036574.1,95354211.26,41433076.2,16442437.67,,,,,,,False,False,False,False
CIDADE OCIDENTAL,GO,2024,MÉDIO PORTE,21848427.47,114325516.68,35703499.96,19153403.42,2024-04-08 00:00:00,2024-03-08 00:00:00,,,,,False,False,False,False
CIDREIRA,RS,2019,MÉDIO PORTE,6178684.21,55685622.63,36503935.54,3245489.58,,,,,,,False,False,False,False
CIDREIRA,RS,2020,MÉDIO PORTE,4215124.99,67665055.38,32914221.99,3955240.4,,,,,,,False,False,False,False
CIDREIRA,RS,2021,MÉDIO PORTE,7156383.59,73978854.30000001,32664300.73,4287265.43,,,,,,,False,False,False,False
CIDREIRA,RS,2022,MÉDIO PORTE,10183696.71,82167862.03,38126310.56,5000091.76,,,,,,,False,False,False,False
CIDREIRA,RS,2023,MÉDIO PORTE,10034357.25,100076883.8,41009929.73,6258065.24,,,,,,,False,False,False,False
CIDREIRA,RS,2024,MÉDIO PORTE,11072862.56,120447885.67,41439223.69,6977754.76,,,,,,,False,False,False,False
CIRIACO,RS,2019,PEQUENO PORTE,1692847.2,15398702.17,31731254.36,1185350.36,,,,,,,False,False,False,False
CIRIACO,RS,2020,PEQUENO PORTE,1818435.69,17565947.47,30617725.84,1341341.44,,,,,,,False,False,False,False
CIRIACO,RS,2021,PEQUENO PORTE,1824651.55,18775335.88,30215246.36,1452625.56,,,,,,,False,False,False,False
CIRIACO,RS,2022,PEQUENO PORTE,1985536.53,19524744.33,31739391.169999998,1697449.36,,,,,,,False,False,False,False
CIRIACO,RS,2023,PEQUENO PORTE,2302810.22,21442320.23,32685277.419999998,2015693.06,,,,,,,False,False,False,False
CIRIACO,RS,2024,PEQUENO PORTE,2609418.67,24365950.61,32009235.48,2358041.02,,,,,,,False,False,False,False
CLAUDIA,MT,2019,PEQUENO PORTE,2969493.47,25669254.21,29862452.79,1449939.44,,,,,,,False,False,False,False
CLAUDIA,MT,2020,PEQUENO PORTE,3050817.54,29744447.61,29862452.79,2005449.68,,,,,,,False,False,False,False
CLAUDIA,MT,2021,PEQUENO PORTE,2918377.59,32242820.89,29862452.79,1781243.96,,,,,,,False,False,False,False
CLAUDIA,MT,2022,PEQUENO PORTE,3097557.82,33088412.92,29996516.64,1154309.83,,,,,,,False,False,False,False
CLAUDIA,MT,2023,PEQUENO PORTE,3488895.07,36566189.27,35409500.379999995,3459352.07,,,,,,,False,False,False,False
CLAUDIA,MT,2024,PEQUENO PORTE,3686520.83,42337331.02,31892255.41,3021538.74,,,,,,,False,False,False,False
COIMBRA,MG,2019,PEQUENO PORTE,1733773.95,13861226.48,31518778.39,1759543.52,,,,,,,False,False,False,False
COIMBRA,MG,2020,PEQUENO PORTE,2242430.92,15302028.87,30553968.919999998,2017263.16,,,,,,,False,False,False,False
COIMBRA,MG,2021,PEQUENO PORTE,2488617.29,16174840.29,30358481.38,2176200.23,,,,,,,False,False,False,False
COIMBRA,MG,2022,PEQUENO PORTE,2855326.56,16938619.02,31465424.61,2657233.53,,,,,,,False,False,False,False
COIMBRA,MG,2023,PEQUENO PORTE,2635387.21,18620601.49,32205313.56,3128102.53,,,,,,,False,False,False,False
COIMBRA,MG,2024,PEQUENO PORTE,2638995.05,20426297.14,31405012.68,3551698.11,,,,,,,False,False,False,False
COLIDER,MT,2019,MÉDIO PORTE,6459408.59,38855166.92,34147989.74,5481738.72,,,,,,,False,False,False,False
COLIDER,MT,2020,MÉDIO PORTE,6921077.22,43440879.49,33908924.93,6764069.85,,,,,,,False,False,False,False
COLIDER,MT,2021,MÉDIO PORTE,8872083.84,45752806.75,31995817.86,7510643.7,,,,,,,False,False,False,False
COLIDER,MT,2022,MÉDIO PORTE,9946126.03,47156134.68,34240509.879999995,8851082.8,,,,,,,False,False,False,False
COLIDER,MT,2023,MÉDIO PORTE,11986719.59,51952736.61,37496629.5,10212459.66,,,,,,,False,False,False,False
COLIDER,MT,2024,MÉDIO PORTE,15390414.51,59456611.71,33622697.22,11952762.87,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2019,MÉDIO PORTE,7211805.98,70183529.27,41924399.73,3535446.34,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2020,MÉDIO PORTE,7489191.26,84186361.71000001,38921584.98,4314997.33,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2021,MÉDIO PORTE,10947271.63,91920659.02,28182248.16,5004910.83,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2022,MÉDIO PORTE,12822360.92,97304630.15,33995473.589999996,8335308.66,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2023,MÉDIO PORTE,13632887.5,108287963.17,44090585.79,10841566.61,,,,,,,False,False,False,False
COLINAS DO TOCANTINS,TO,2024,MÉDIO PORTE,16983991.02,125898999.12,36415946.28,14911305.6,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2019,PEQUENO PORTE,1937494.71,5725619.78,30577351.83,705141.32,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2020,PEQUENO PORTE,1967653.6,7030468.0,30266745.91,796224.72,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2021,PEQUENO PORTE,2141309.07,8903069.61,30075966.99,990588.16,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2022,PEQUENO PORTE,2216321.76,10040709.96,30938836.46,1458281.43,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2023,PEQUENO PORTE,3943681.92,12100757.79,31560140.169999998,2313271.21,,,,,,,False,False,False,False
COLONIA DO GURGUEIA,PI,2024,PEQUENO PORTE,3502289.35,14918819.21,30861275.41,3310077.9,2022-02-22 00:00:00,2021-12-14 00:00:00,,,,,False,False,False,False
COLORADO,PR,2019,MÉDIO PORTE,4364122.31,26521704.09,32589430.41,9896639.67,,,,,,,False,False,False,False
COLORADO,PR,2020,MÉDIO PORTE,4723084.63,27737088.49,31052564.58,10936492.71,,,,,,,False,False,False,False
COLORADO,PR,2021,MÉDIO PORTE,5891225.89,23435706.82,30108085.82,11851783.74,,,,,,,False,False,False,False
COLORADO,PR,2022,MÉDIO PORTE,5986381.26,23169749.98,32052169.009999998,14241281.49,,,,,,,False,False,False,False
COLORADO,PR,2023,MÉDIO PORTE,6895838.12,22070499.6,32543747.759999998,16122409.19,,,,,,,False,False,False,False
COLORADO,PR,2024,MÉDIO PORTE,5513534.61,21515689.05,31203893.64,14330954.87,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2019,PEQUENO PORTE,1209251.95,8955062.77,30736993.63,820693.94,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2020,PEQUENO PORTE,815065.79,10534804.92,30498799.58,991912.2,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2021,PEQUENO PORTE,1485031.15,12169669.95,30078770.029999997,1106329.81,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2022,PEQUENO PORTE,1640617.69,13290500.92,30899151.939999998,1518601.98,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2023,PEQUENO PORTE,1689754.63,15016907.31,31847973.259999998,1577706.88,,,,,,,False,False,False,False
COMENDADOR GOMES,MG,2024,PEQUENO PORTE,1761298.56,17423423.76,31020389.05,1572087.58,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2019,MÉDIO PORTE,3645665.81,14396629.43,32266050.68,462152.28,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2020,MÉDIO PORTE,3161023.66,19122514.74,31362972.419999998,1152552.19,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2021,PEQUENO PORTE,4096179.06,21826375.31,29862452.79,2094377.2,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2022,PEQUENO PORTE,4748334.76,25183491.87,29862452.79,2735146.61,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2023,MÉDIO PORTE,6330622.26,29341353.71,29862452.79,3396942.0,,,,,,,False,False,False,False
COMENDADOR LEVY GASPARIAN,RJ,2024,MÉDIO PORTE,4143481.4,36128748.81,29862452.79,3778116.97,2022-04-28 00:00:00,2022-04-11 00:00:00,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2019,MÉDIO PORTE,3698108.11,35998691.61,37655720.19,6140856.46,,,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2020,MÉDIO PORTE,3821579.13,41691117.71,41210023.96,6853969.17,,,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2021,MÉDIO PORTE,4288572.76,49658283.65000001,31954989.279999997,7545072.01,,,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2022,MÉDIO PORTE,5452962.25,45472065.13,35741901.81,10121434.39,,,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2023,MÉDIO PORTE,5452176.77,52927565.63,38367685.629999995,11387853.53,,,,,,,False,False,False,False
CONCEICAO DA BARRA,ES,2024,MÉDIO PORTE,6437348.73,61953464.15,35374496.58,12468545.32,,,,,,,False,False,False,False
CONCEICAO DAS ALAGOAS,MG,2019,MÉDIO PORTE,6084893.04,11133314.52,31428718.97,6936492.14,,,,,,,False,False,False,False
CONCEICAO DAS ALAGOAS,MG,2020,MÉDIO PORTE,7106173.24,12996870.76,30806922.06,7963997.18,,,,,,,False,False,False,False
CONCEICAO DAS ALAGOAS,MG,2021,MÉDIO PORTE,8958817.35,15199074.22,29676379.79,8502905.6,,,,,,,False,False,False,False
CONCEICAO DAS ALAGOAS,MG,2022,MÉDIO PORTE,13554177.25,18488315.05,31399845.88,10842259.91,,,,,,,False,False,False,False
CONCEICAO DAS ALAGOAS,MG,2023,MÉDIO PORTE,16872504.99,25401565.19,34034722.5,12902331.71,,,,,,,False,False,False,False
