"RPPS","Ano","Eff_ch","Tech_ch","Malmquist"
"MATO GROSSO DO SUL_MS",2021,2.18044779836239,0.820652824907598,1.78939064528965
"MEDIANEIRA_PR",2021,0.896031597039513,0.365161821115023,0.327196529751551
"MILAGRES_CE",2021,2.27275512834619,0.311746430992351,0.708523299781488
"MINACU_GO",2021,1.00866913570939,0.952000576573191,0.960253598766923
"MIRA ESTRELA_SP",2021,2.5005446587546,0.642452043127174,1.60648002494763
"MONTE ALEGRE DE MINAS_MG",2021,1.07765651496134,0.909275329103034,0.979886482301501
"MORENO_PE",2021,1.10835422977282,1.0150521572116,1.1250373518855
"MORRO AGUDO_SP",2021,1.06541083140848,0.953266541357854,1.01562049838196
"NOVA ESPERANCA DO SUL_RS",2021,1.12502565546759,0.646651390506152,0.727499404463214
"NOVO HORIZONTE DO OESTE_RO",2021,1.54162205658919,0.520000319170566,0.801643961466761
"OLIVEIRA_MG",2021,1.61562065966927,0.432922333569808,0.699438266147614
"OSORIO_RS",2021,1,0.382665507904396,0.382665507904396
"PALMEIRA D'OESTE_SP",2021,1.73487734238644,0.845672633801461,1.46713829145842
"PARAIBUNA_SP",2021,2.0675116128505,0.551008095735807,1.13921563670842
"PARAIPABA_CE",2021,1.31219796540248,0.814821074139321,1.06920655565268
"PARISI_SP",2021,1.70235852824255,0.60141899666363,1.02383075801741
"PAROBE_RS",2021,1.04686352258022,0.4286003963722,0.44868612072548
"PATOS_PB",2021,1.03158913741297,0.968586919744171,0.999183745048372
"PATY DO ALFERES_RJ",2021,1.08652394779215,0.428649195541316,0.46573761615748
"PIAUI_PI",2021,1,0.609081824547203,0.609081824547203
"PICOS_PI",2021,0.98502057483199,0.808803251694571,0.796687843910169
"PIRACAIA_SP",2021,1,0.126196684267157,0.126196684267157
"POSSE_GO",2021,1.20998257316325,0.936757018127565,1.13345966722273
"QUEIMADOS_RJ",2021,0.624312026669881,0.392728210890214,0.245184945271306
"RIACHINHO_MG",2021,1.4446679641993,0.487566268269553,0.704371368193226
"RIBEIRAO PIRES_SP",2021,0.266638034072847,0.670830682483893,0.178868974373251
"RIO BRILHANTE_MS",2021,1.54698368992272,0.480625681415821,0.743520090108268
"RIO NEGRINHO_SC",2021,1.22793043211489,0.633040305091443,0.777329455377078
"SAGRADA FAMILIA_RS",2021,1.90413914639797,0.483816412433954,0.921253770585315
"SANTA FE DO SUL_SP",2021,3.48396242725221,0.272715009914207,0.95012884788881
"SANTA MARIA DE JETIBA_ES",2021,0.671019586397158,0.336671104008604,0.225912904963728
"SANTANA DO CARIRI_CE",2021,2.09731208204013,0.724357944765524,1.51920466927849
"SANTO ANDRE_SP",2021,0.587089149379118,0,0
"SANTO ANTONIO DA PATRULHA_RS",2021,1,0.408832171216987,0.408832171216987
"SAO FRANCISCO DE ASSIS_RS",2021,1.01855993438139,0.911152039317177,0.928062961378373
"SAO JOAO DA LAGOA_MG",2021,2.21692422545212,0.460781608176174,1.02151790980855
"SAO MANUEL_SP",2021,1.15072670988862,0.512392642501418,0.589623899676795
"SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN",2021,1.75298283807511,0.46078160817615,0.807742251233443
"SOLONOPOLE_CE",2021,1.17112286329936,0.643461153975879,0.753572069066144
"SUME_PB",2021,1.07032000426008,0.872931913856358,0.9343164897575
"TAIO_SC",2021,1.03238157963329,0.845544324042461,0.872924384904918
"TAUA_CE",2021,0.761936067552132,0.974634552814681,0.742609218472048
"TAUBATE_SP",2021,1.28206851331721,0.176898326580503,0.226795774567368
"TRAJANO DE MORAES_RJ",2021,2.25060253347209,0.963611378599795,2.16870620995923
"TRES MARIAS_MG",2021,1.45865038217359,0.542179644766825,0.790850546045868
"TUPANCIRETA_RS",2021,1.30015781615637,0.545733349933677,0.709539480453468
"TURMALINA_MG",2021,1.54078978382917,0.74973550046862,1.1551847996961
"VARJAO DE MINAS_MG",2021,1.77300882041208,0.460781608176148,0.816969855579972
"VARRE-SAI_RJ",2021,1.09600800380511,0.877733525511511,0.962002969168693
"VIANA_ES",2021,1.3801030494723,0.378358190294668,0.522173292218491
"VICOSA_MG",2021,1.13939447527072,0.746516879455357,0.850577208147774
"ALTO PARAISO DE GOIAS_GO",2022,1.05892160936803,0.656174746161449,0.694837618231942
"AMAPORA_PR",2022,1.85057628314102,0.535311769168141,0.990635264108824
"ANDIRA_PR",2022,0.528882754059414,1.89080729029437,1.00001536708651
"AQUIDAUANA_MS",2022,0.240701842535229,5.68768832999715,1.36903706079643
"ARMACAO DOS BUZIOS_RJ",2022,0.645740907017974,3.82399218561738,2.46930818237021
"ASSIS_SP",2022,1.34263344577301,0.916338674765472,1.23030695239544
"ATALAIA_AL",2022,0.498101714255025,1.42272955709389,0.70866403130976
"BARRO ALTO_GO",2022,1.05429130212135,0.93949081546752,0.990496995170297
"BEBERIBE_CE",2022,0.535391404840551,3.47066775586375,1.8581656855467
"BOA VISTA_RR",2022,1,Inf,Inf
"BOM DESPACHO_MG",2022,0.444846109429072,1.82049937629174,0.809842064761433
"CAAPORA_PB",2022,0.363636791135221,1.61677298256242,0.587918139373119
"CAARAPO_MS",2022,1.00765866887486,1.39001957564133,1.40066527530074
"CACADOR_SC",2022,0.38874932305026,2.09896347827631,0.815970631287135
"CACHOEIRINHA_PE",2022,2.7200567866698,0.613105762799035,1.66768249104788
"CAMACARI_BA",2022,1.31031014854439,Inf,Inf
"CANTAGALO_RJ",2022,0.767141102367906,1.30924824765477,1.00437814397913
"CARDOSO MOREIRA_RJ",2022,0.764692871847171,4.8066755400375,3.67563052274883
"CARIRIACU_CE",2022,1.1263327437049,1.13701684318557,1.28065930062389
"CERES_GO",2022,0.759766352219319,0.99047234008437,0.752527556800035
"CERQUEIRA CESAR_SP",2022,1.01283534922671,1.52393470589985,1.54349494004877
"CHOPINZINHO_PR",2022,1,1.40387645125938,1.40387645125938
"CONCEICAO DE MACABU_RJ",2022,0.685867631365206,3.37153460993257,2.31242645698027
"CRATO_CE",2022,0.417023813461427,8.1052371786569,3.38007691725284
"CRUZEIRO DO OESTE_PR",2022,0.487151259497788,1.21886946049181,0.593773792841976
"CURITIBANOS_SC",2022,0.575660017180749,1.70804737110227,0.983254578994267
"DEMERVAL LOBAO_PI",2022,1.84063269154772,0.503232647202841,0.926266461895651
"DOMINGOS MARTINS_ES",2022,0.342609756059619,6.07675497178824,2.08195553851844
"DUAS BARRAS_RJ",2022,1.01056907220935,1.08471617758005,1.09618062118754
"ENTRE-IJUIS_RS",2022,1.08801660979568,1.33793284776218,1.45569316115649
"ESCADA_PE",2022,0.927243496586238,1.11633900012269,1.03511807784935
"ESPERA FELIZ_MG",2022,0.906496062184695,1.01500049138633,0.920093948557241
"ESPERANTINA_PI",2022,1.4273062827296,1.01435820015146,1.44779983201447
"ESPIGAO DO OESTE_RO",2022,0.793269729739987,1.82778633665116,1.44992757329771
"EUSEBIO_CE",2022,0.958990375703911,12.2622121345189,11.7593434218433
"FERNANDOPOLIS_SP",2022,0.390134368803871,3.95157110857908,1.54164370022911
"FLORIANOPOLIS_SC",2022,1.72992336499797,0.808135438623756,1.39801237735812
"FORMOSA_GO",2022,0.724581834851357,0.50323264720284,0.364633234867339
"FOZ DO IGUACU_PR",2022,1.38729223631606,Inf,Inf
"GOIANIRA_GO",2022,0.837283760089513,2.42614857602872,2.03137480227314
"GOIAS_GO",2022,1,0,0
"GONCALVES_MG",2022,1.32943920451509,0.50323264720284,0.669017210183368
"HOLAMBRA_SP",2022,0.579917834786069,3.46205162082352,2.00770547986558
"IGUATAMA_MG",2022,1.09099970503765,0.753142054477607,0.821677759286517
"IRAUCUBA_CE",2022,1.25590030003206,1.66836016909309,2.09529403692556
"ITACURUBA_PE",2022,1.76706952496088,0.503232647202837,0.889247074837523
"ITAPIPOCA_CE",2022,1.22550571915547,3.11174829433997,3.81346533128591
"IVOTI_RS",2022,2.37647413094254,3.69205887591474,8.77408240852818
"JALES_SP",2022,0.470736005550305,2.10753148213381,0.992090951471185
"JANUARIA_MG",2022,0.80452843946759,2.57337002536459,2.07034937067925
"JAPURA_PR",2022,1.30157532317036,0.650037558735547,0.846072845584093
"JARU_RO",2022,0.620237278484053,5.07883864869087,3.15008506132365
"JOACABA_SC",2022,0.164346608754502,25.3439187164358,4.16518709359598
"LAGOA SECA_PB",2022,0.697905777251796,1.32116596490737,0.9220493596173
"LAGOAO_RS",2022,1.18975059175549,0.603988730919381,0.718595950024983
"LIBERDADE_MG",2022,1.11756736206218,0.667844836681929,0.746361592397472
"LIMEIRA_SP",2022,0.634142482261521,0.928044164602098,0.588512230189094
"MAFRA_SC",2022,0.473264319275502,1.78207957320833,0.843394676109217
"MANGARATIBA_RJ",2022,0.554048252828182,1.21354080705841,0.672360163886415
"MANTENA_MG",2022,0.672322486613799,1.26681721614503,0.851709700843794
"MARABA_PA",2022,1.39658631744945,3.29153685248733,4.59691533156445
"MARACAJU_MS",2022,0.743261448778094,3.58758456315336,2.66651330002329
"MARILIA_SP",2022,1.03304177654169,0.825766250533244,0.853051034459033
"MARINGA_PR",2022,1.22519253335247,0.81306289556537,0.996158588792628
"MATO GROSSO_MT",2022,2.19664510913651,1.32694038612583,2.91481710929902
"MATO GROSSO DO SUL_MS",2022,1,0.93408636006207,0.93408636006207
"MEDIANEIRA_PR",2022,0.70996764967255,1.58214645009205,1.12327279660962
"MILAGRES_CE",2022,1.47084891721012,0.672850721085801,0.989661754553098
"MINACU_GO",2022,0.485872112875939,1.5282437607988,0.742531025048786
"MIRA ESTRELA_SP",2022,1.70338371540818,0.509365293352595,0.867644545890921
"MONTE ALEGRE DE MINAS_MG",2022,0.674856296882697,1.23478115988166,0.833299841018258
"MORENO_PE",2022,0.669441387438193,1.47249535924269,0.985749336287727
"MORRO AGUDO_SP",2022,0.671001753873852,1.4874474803119,0.998079868084528
"NOVA ESPERANCA DO SUL_RS",2022,1.68467703204436,0.509841767765973,0.858918716132229
"NOVO HORIZONTE DO OESTE_RO",2022,1.72991055456634,0.503232647202835,0.870547467798546
"OLIVEIRA_MG",2022,0.260269979023596,5.75966407603757,1.49906764825325
"OSORIO_RS",2022,1,12.8535179446022,12.8535179446022
"PALMEIRA D'OESTE_SP",2022,1.23048712017111,0.883140877941687,1.08669347560386
"PARAIBUNA_SP",2022,0.314221189200858,1.73348888900208,0.544698940168709
"PARAIPABA_CE",2022,0.783218314899338,1.38005686738946,1.08088581414203
"PARISI_SP",2022,1.26367118161859,0.503232647202837,0.635920593919859
"PAROBE_RS",2022,0.682910187376007,4.1986638194642,2.86731029567916
"PATOS_PB",2022,0.875000507134157,1.27641712025963,1.1168656275419
"PATY DO ALFERES_RJ",2022,0.621781496502168,4.39105496135742,2.73027672509609
"PIAUI_PI",2022,1,0.964393360060749,0.964393360060749
"PICOS_PI",2022,0.747792836569883,4.25862782739264,3.18457138294138
