"RPPS","Ano","Eff_ch","Tech_ch","Malmquist"
"BOA VISTA_RR",2019,NA,NA,NA
"BOA VISTA_RR",2020,1,0.916710955169027,0.916710955169027
"BOA VISTA_RR",2021,1,0.218583854212925,0.218583854212925
"BOA VISTA_RR",2022,1,4.30702403725468,4.30702403725468
"BOA VISTA_RR",2023,1,Inf,Inf
"BOA VISTA_RR",2024,1,1.04616400019483,1.04616400019483
"CAMACARI_BA",2019,NA,NA,NA
"CAMACARI_BA",2020,1.73625376062516,1.03360875416047,1.79460708642621
"CAMACARI_BA",2021,0.653575180384963,0.490803888773872,0.320777240139025
"CAMACARI_BA",2022,1.01533948856109,3.17364547894788,3.22232757746915
"CAMACARI_BA",2023,0.964863306677193,1.75537703592491,1.69369889134772
"CAMACARI_BA",2024,1.56180705677043,1.03076499687771,1.60985604599555
"CAXIAS DO SUL_RS",2019,NA,NA,NA
"CAXIAS DO SUL_RS",2020,0.838393635762094,0.978743655143971,0.820572451515234
"CAXIAS DO SUL_RS",2021,0.915601513075521,0.271631416229622,0.248706135698688
"CAXIAS DO SUL_RS",2022,1.0194652935151,2.68267034400381,2.73488930965411
"CAXIAS DO SUL_RS",2023,1.17870075123857,2.58259799861218,3.0441102011114
"CAXIAS DO SUL_RS",2024,1.07143348758931,1.01704733379173,1.08969857188788
"CEARA_CE",2019,NA,NA,NA
"CEARA_CE",2020,3.03862291545359,1.12495661465422,3.41831894817941
"CEARA_CE",2021,2.52487019924893,0.247198457823798,0.6241440194596
"CEARA_CE",2022,2.47353847478912,Inf,Inf
"CEARA_CE",2023,0.34814760773087,Inf,Inf
"CEARA_CE",2024,1.13624677418084,0.974295476286772,1.10704009202983
"CONTAGEM_MG",2019,NA,NA,NA
"CONTAGEM_MG",2020,0.936475849061354,1.02296536237103,0.957982356286767
"CONTAGEM_MG",2021,1.23214067600444,0.627391487368418,0.773034571365552
"CONTAGEM_MG",2022,0.714837023038983,1.47539725796159,1.05466858368114
"CONTAGEM_MG",2023,0.906820010714883,1.02739368452993,0.931661152013835
"CONTAGEM_MG",2024,1.05867143894797,1.16872833723048,1.23729931051506
"DUQUE DE CAXIAS_RJ",2019,NA,NA,NA
"DUQUE DE CAXIAS_RJ",2020,1.03479365056605,0.986596129471185,1.02092341044982
"DUQUE DE CAXIAS_RJ",2021,1.34895014214302,0.767446467662995,1.03524702164116
"DUQUE DE CAXIAS_RJ",2022,1.08126266401134,0.953651826853016,1.03114811484237
"DUQUE DE CAXIAS_RJ",2023,1.09737382203129,0.988075405297823,1.08428808396679
"DUQUE DE CAXIAS_RJ",2024,0.593995255700272,1.5009736149121,0.891571206189075
"FLORIANOPOLIS_SC",2019,NA,NA,NA
"FLORIANOPOLIS_SC",2020,0.947747604059389,0.969291195592924,0.918643408259054
"FLORIANOPOLIS_SC",2021,1.05342004054182,0.784490958256587,0.826398497051347
"FLORIANOPOLIS_SC",2022,0.938731165274766,0.926737033889609,0.869956935726474
"FLORIANOPOLIS_SC",2023,0.867368661841476,0.9892937083849,0.858082360010002
"FLORIANOPOLIS_SC",2024,0.517721783464542,1.5930485834442,0.824755953766394
"GOVERNO DO DISTRITO FEDERAL_DF",2019,NA,NA,NA
"GOVERNO DO DISTRITO FEDERAL_DF",2020,1,Inf,Inf
"GOVERNO DO DISTRITO FEDERAL_DF",2021,1,Inf,Inf
"GOVERNO DO DISTRITO FEDERAL_DF",2022,1,Inf,Inf
"GOVERNO DO DISTRITO FEDERAL_DF",2023,1,Inf,Inf
"GOVERNO DO DISTRITO FEDERAL_DF",2024,1,NA,NA
"JABOATAO DOS GUARARAPES_PE",2019,NA,NA,NA
"JABOATAO DOS GUARARAPES_PE",2020,0.891348988856228,1.03229864094593,0.920138349804812
"JABOATAO DOS GUARARAPES_PE",2021,1.3080895799605,0.404273351352251,0.528825758359592
"JABOATAO DOS GUARARAPES_PE",2022,1.06514360238113,4.10592391169002,4.37339858640033
"JABOATAO DOS GUARARAPES_PE",2023,0.949366019161125,4.1003880946255,3.89276912241028
"JABOATAO DOS GUARARAPES_PE",2024,0.956568261145205,0.884949040428511,0.846514164804818
"LIMEIRA_SP",2019,NA,NA,NA
"LIMEIRA_SP",2020,1.05953608656178,0.965504271018172,1.02298661687328
"LIMEIRA_SP",2021,1,0.873234600422841,0.873234600422841
"LIMEIRA_SP",2022,0.877196196802136,0.858575993179615,0.753139595882775
"LIMEIRA_SP",2023,0.870749126853533,0.925390352467925,0.805782841410129
"LIMEIRA_SP",2024,1.08838324686017,1.06711395149808,1.16142894730127
"MARILIA_SP",2019,NA,NA,NA
"MARILIA_SP",2020,0.75434408569003,0.968789457780466,0.730800597755545
"MARILIA_SP",2021,1.32565498818123,0.7856418630139,1.04149005462837
"MARILIA_SP",2022,0.803168788144629,0.929000617021473,0.746144299758748
"MARILIA_SP",2023,1.24506830290313,0.9892937083849,1.23173823857154
"MARILIA_SP",2024,1,1.57914874475804,1.57914874475804
"MATO GROSSO_MT",2019,NA,NA,NA
"MATO GROSSO_MT",2020,0.753618475198374,0.973019964505361,0.733285821988106
"MATO GROSSO_MT",2021,1.11091336764265,0.768831843274176,0.85410557216262
"MATO GROSSO_MT",2022,1.10474631110028,2.60086473411972,2.87329572068956
"MATO GROSSO_MT",2023,0.990361808968046,0.992515173920066,0.982949123071711
"MATO GROSSO_MT",2024,1.19378858741229,1.10506410343546,1.31921291504024
"NATAL_RN",2019,NA,NA,NA
"NATAL_RN",2020,1.17162732747424,0.912514440364874,1.06912685504635
"NATAL_RN",2021,1.23615921772947,0.108565919443611,0.134204762051495
"NATAL_RN",2022,0.577358168080998,5.37564850427216,3.10367457267393
"NATAL_RN",2023,1.03521459137237,5.05865347729821,5.23679189239568
"NATAL_RN",2024,0.878127615013961,0.824175720580338,0.723731459865624
"PALMAS_TO",2019,NA,NA,NA
"PALMAS_TO",2020,1,1.58094023959733,1.58094023959733
"PALMAS_TO",2021,1,0,0
"PALMAS_TO",2022,1,1.06966613225642,1.06966613225642
"PALMAS_TO",2023,1,1.27805856153123,1.27805856153123
"PALMAS_TO",2024,1,2.43287332557044,2.43287332557044
"PETROPOLIS_RJ",2019,NA,NA,NA
